RANK,CONSOLE,manufacturer,global_lifetime
['1'],['PlayStation 2 (PS2)'],['Sony'],['157.68']
['2'],['Nintendo DS (DS)'],['Nintendo'],['154.90']
['3'],['Game Boy (GB)'],['Nintendo'],['118.69']
['4'],['PlayStation 4 (PS4)'],['Sony'],['116.97']
['5'],['Nintendo Switch (NS)'],['Nintendo'],['107.21']
['6'],['PlayStation (PS)'],['Sony'],['102.50']
['7'],['Nintendo Wii (Wii)'],['Nintendo'],['101.64']
['8'],['PlayStation 3 (PS3)'],['Sony'],['87.41']
['9'],['Xbox 360 (X360)'],['Microsoft'],['85.8']
['10'],['Game Boy Advance (GBA)'],['Nintendo'],['81.51']
['11'],['PlayStation Portable (PSP)'],['Sony'],['81.09']
['12'],['Nintendo 3DS (3DS)'],['Nintendo'],['75.95']
['13'],['Nintendo Entertainment System (NES)'],['Nintendo'],['61.91']
['14'],['Xbox One (XOne)'],['Microsoft'],['50.57']
['15'],['Super Nintendo Entertainment System (SNES)'],['Nintendo'],['49.10']
['16'],['Nintendo 64 (N64)'],['Nintendo'],['32.93']
['17'],['Sega Genesis (GEN)'],['Sega'],['29.54']
['18'],['Atari 2600 (2600)'],['Atari'],['27.64']
['19'],['Xbox (XB)'],['Microsoft'],['24.65']
['20'],['GameCube (GC)'],['Nintendo'],['21.74']
['21'],['PlayStation 5 (PS5)'],['Sony'],['19.32']
['22'],['PlayStation Vita (PSV)'],['Sony'],['16.21']
['23'],['Xbox Series X/S (XS)'],['Microsoft'],['14.32']
['24'],['Nintendo Wii U (WiiU)'],['Nintendo'],['13.97']
['25'],['GameGear (GG)'],['Sega'],['10.62']
['26'],['Sega Saturn (SAT)'],['Sega'],['8.82']
['27'],['Dreamcast (DC)'],['Sega'],['8.20']
['28'],['Atari 7800 (7800)'],['Atari'],['4.30']
